LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
60m         Normal    Pulling                  pod/metering-operator-698f55bb84-b7zrg           Pulling image "quay.io/openshift/origin-metering-helm-operator:4.1"
60m         Normal    Pulled                   pod/metering-operator-698f55bb84-b7zrg           Successfully pulled image "quay.io/openshift/origin-metering-helm-operator:4.1"
60m         Normal    Created                  pod/metering-operator-698f55bb84-b7zrg           Created container tiller
60m         Normal    Started                  pod/metering-operator-698f55bb84-b7zrg           Started container tiller
143m        Normal    SuccessfulCreate         replicaset/metering-operator-698f55bb84          Created pod: metering-operator-698f55bb84-98vsn
62m         Normal    SuccessfulCreate         replicaset/metering-operator-698f55bb84          Created pod: metering-operator-698f55bb84-b7zrg
62m         Warning   ComponentUnhealthy       clusterserviceversion/metering-operator.v4.1.0   installing: Waiting: waiting for deployment metering-operator to become ready: Waiting for rollout to finish: 0 of 1 updated replicas are available...
62m         Normal    NeedsReinstall           clusterserviceversion/metering-operator.v4.1.0   installing: Waiting: waiting for deployment metering-operator to become ready: Waiting for rollout to finish: 0 of 1 updated replicas are available...
62m         Normal    AllRequirementsMet       clusterserviceversion/metering-operator.v4.1.0   all requirements found, attempting install
62m         Warning   InstallComponentFailed   clusterserviceversion/metering-operator.v4.1.0   install strategy failed: Deployment openshift-metering/metering-operator does not have rolling update strategy enabled
144m        Normal    Killing                  pod/presto-coordinator-5548fcbdc6-gcn27          Stopping container presto
80m         Normal    Scheduled                pod/presto-coordinator-5548fcbdc6-hz5t4          Successfully assigned openshift-metering/presto-coordinator-5548fcbdc6-hz5t4 to ip-10-0-134-21.us-west-2.compute.internal
80m         Normal    Pulling                  pod/presto-coordinator-5548fcbdc6-hz5t4          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
79m         Normal    Pulled                   pod/presto-coordinator-5548fcbdc6-hz5t4          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
79m         Normal    Created                  pod/presto-coordinator-5548fcbdc6-hz5t4          Created container copy-presto-config
79m         Normal    Started                  pod/presto-coordinator-5548fcbdc6-hz5t4          Started container copy-presto-config
79m         Normal    Pulling                  pod/presto-coordinator-5548fcbdc6-hz5t4          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
79m         Normal    Pulled                   pod/presto-coordinator-5548fcbdc6-hz5t4          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
79m         Normal    Created                  pod/presto-coordinator-5548fcbdc6-hz5t4          Created container presto
79m         Normal    Started                  pod/presto-coordinator-5548fcbdc6-hz5t4          Started container presto
40m         Normal    Killing                  pod/presto-coordinator-5548fcbdc6-hz5t4          Stopping container presto
143m        Normal    Scheduled                pod/presto-coordinator-5548fcbdc6-p8xqh          Successfully assigned openshift-metering/presto-coordinator-5548fcbdc6-p8xqh to ip-10-0-156-35.us-west-2.compute.internal
143m        Normal    Pulling                  pod/presto-coordinator-5548fcbdc6-p8xqh          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
143m        Normal    Pulled                   pod/presto-coordinator-5548fcbdc6-p8xqh          Successfully pulled image "quay.io/openshift/origin-metering-presto:4.1"
143m        Normal    Created                  pod/presto-coordinator-5548fcbdc6-p8xqh          Created container copy-presto-config
143m        Normal    Started                  pod/presto-coordinator-5548fcbdc6-p8xqh          Started container copy-presto-config
142m        Normal    Pulling                  pod/presto-coordinator-5548fcbdc6-p8xqh          Pulling image "quay.io/openshift/origin-metering-presto:4.1"
